RESULTADO	PROGRAMA	CLASIFICACION	NPERSONAS	NIVELEDUC	OCUPADO	HOMBRE
-.1999179	0	-9	5	0	0	0
-.31985536	0	-8	5	0	0	1
-.34853014	0	-9	5	0	0	1
-.49986327	0	-4	5	0	1	0
-.62269032	0	-9	5	1	0	0
.0076447818	0	-3	7	3	1	1
-.2281172	0	-10	9	0	0	0
-.093626231	0	-10	11	1	0	1
.014762939	0	-4	6	0	1	0
1.6058396	0	-9	9	0	1	1
.001742934	0	-7	8	2	1	0
1.0800773	0	-7	4	1	0	1
-.09123908	0	-7	5	3	0	1
-.14600684	0	-7	5	3	0	0
.052981034	0	-7	6	5	0	1
-.49100232	0	-7	6	5	0	1
.017949345	0	-10	7	0	0	1
.22801471	0	-7	8	2	1	0
.50621045	0	-7	8	2	1	1
.8584801	0	-4	3	2	0	0
.15353955	0	-3	4	5	0	1
1.031502	0	-3	5	0	1	1
.40262228	0	-3	5	7	0	0
-.022921586	0	-6	7	0	1	0
-1.0890563	0	-9	7	3	0	0
-.35743314	0	-3	8	5	1	1
-.21615379	0	-10	11	0	0	0
-.05046868	0	-10	9	5	0	0
-.17921373	0	-9	8	5	0	0
.30753186	0	-2	7	5	1	1
.48463374	0	-1	2	4	0	1
-.16989639	0	-5	3	2	0	1
.26529989	0	-1	3	6	0	0
.086289339	0	-1	3	6	0	1
.046731398	0	-1	3	6	0	1
.13393524	0	-1	3	6	0	0
.68829018	0	-1	3	6	0	0
-.38325953	0	-2	3	6	0	1
-.59879702	0	-7	4	0	0	0
.29351869	0	-1	4	0	1	1
.78783953	0	-1	4	0	1	0
1.0812502	0	-1	4	0	1	0
.62446594	0	-1	4	0	1	0
-.71785462	0	-3	4	5	0	0
.39136782	0	-1	4	8	0	1
1.5601548	0	-1	4	8	0	1
1.1500211	0	-1	4	8	0	0
.21602586	0	-1	4	8	0	0
.43438455	0	-1	4	8	0	0
.43262759	0	-1	5	2	1	1
-.15151645	0	-1	5	2	1	0
.34928814	0	-1	5	2	1	1
-.31297353	0	-1	5	3	1	0
1.8134651	0	-1	5	3	1	0
2.752295	0	-1	5	3	1	0
.35832918	0	-1	5	3	1	0
.47488907	0	-4	5	5	0	1
.40457851	0	-2	5	8	0	1
.39221546	0	-1	5	9	0	0
-.077350937	0	-8	6	2	0	1
.039125763	0	-2	6	3	1	1
.55293226	0	-1	6	4	1	1
.53604639	0	-1	6	4	1	1
1.6148036	0	-2	6	4	1	1
.31383434	0	-1	6	11	0	0
.27619517	0	-1	6	11	0	1
.7233429	0	-8	8	0	1	1
-.24491289	0	-7	8	2	1	1
.46143296	0	-7	11	5	1	1
-.29528263	0	-8	11	5	1	0
.49569926	0	-2	6	3	1	1
.84695011	0	-5	6	0	1	0
.23698299	0	-2	4	7	0	0
.18548164	0	-5	7	1	1	1
.42992887	0	-4	10	6	1	0
1.3546791	0	-5	3	2	0	0
1.1043705	0	-3	3	4	0	1
.21012634	0	-3	4	5	0	0
.69965154	0	-2	5	8	0	0
.1798414	0	-2	7	5	1	0
.32212266	0	-9	6	1	0	1
.22626652	0	-1	7	6	1	0
.36881325	0	-7	6	4	0	0
.25079477	0	-2	4	0	1	1
.35954899	0	-6	5	3	0	0
-.35023141	0	-3	4	5	0	1
.21975	0	-3	4	5	0	1
.11905991	0	-3	4	7	0	0
.39390597	0	-3	5	0	1	1
-.22286481	0	-4	5	0	1	1
.013614826	0	-3	5	6	0	1
-.037693903	0	-7	9	4	1	0
.24583887	0	-8	10	3	1	1
.36751351	0	-1	5	3	1	0
.30010131	0	-9	6	0	0	1
.94636321	0	-1	6	4	1	1
-1.0596333	0	-6	7	0	1	1
-.039383605	0	-10	10	2	0	0
.18218125	0	-6	5	5	0	0
-.073168062	0	-5	5	5	0	0
.42813644	0	-4	6	0	1	0
-.14615616	0	-5	6	0	1	0
.34705013	0	-2	6	3	1	0
.2810902	0	-2	6	3	1	1
-.28778654	0	-8	6	4	0	0
.11543448	0	-7	7	0	1	1
1.7947867	0	-4	7	1	1	1
.26005432	0	-4	7	1	1	1
.13592783	0	-4	7	2	1	0
-.090537615	0	-7	8	0	1	1
.63511133	0	-5	8	3	1	0
.50677848	0	-8	12	7	1	0
.21979381	0	-9	8	5	0	0
-.2785697	0	-2	6	3	1	0
.050209045	0	-9	6	0	0	0
1.052762	0	-10	8	0	0	1
.95002115	1	1	2	5	0	1
.67998278	1	0	2	6	0	1
1.1815517	1	0	2	6	0	0
1.6235566	0	-6	3	0	0	0
.54750353	0	-1	3	0	1	1
.63187987	0	-1	3	7	0	0
.41717756	0	-1	3	7	0	0
.63659346	1	0	3	7	0	1
.3464089	0	-1	3	7	0	1
1.0517066	1	0	3	8	0	0
.13697535	0	-1	3	8	0	1
.74174541	1	0	3	8	0	1
.32754508	0	-1	4	0	1	0
.85174912	1	0	4	2	1	0
.15685834	0	-1	4	2	1	1
.79737937	1	0	4	2	1	1
.49149695	1	0	4	9	0	1
.29870224	0	-1	4	9	0	0
.047353689	1	0	4	9	0	1
.47158703	0	-1	4	9	0	0
.77140468	1	0	4	9	0	0
.5783596	0	-1	4	9	0	0
.92676061	1	0	4	9	0	1
.52472055	1	0	4	9	0	0
.32708797	1	0	5	4	1	0
.82001126	1	0	5	11	0	1
-.31537986	0	-1	6	4	1	1
.53534615	1	0	6	5	1	1
1.4592899	1	0	6	5	1	0
.25767863	1	0	6	5	1	1
.30429679	0	-1	6	6	1	0
.43750021	0	-4	5	0	1	0
.75234002	0	-3	7	5	1	0
-.028400367	0	-4	5	0	1	1
.81240153	0	-4	5	0	1	0
1.3063875	0	-7	7	0	1	0
.36885607	0	-7	7	0	1	1
1.1901604	0	-3	5	0	1	0
.076213263	0	-3	5	0	1	0
-.03489067	0	-9	7	3	0	1
.30161673	0	-7	8	2	1	0
1.176432	0	-1	8	7	1	0
.84956318	1	0	7	8	1	0
.25522909	0	-4	8	5	1	0
-.071215108	0	-1	3	6	0	1
.077801473	0	-1	4	0	1	0
1.157523	0	-6	4	1	0	0
.52391922	0	-7	4	2	0	0
.31897789	0	-4	5	0	1	1
1.8431592	0	-1	5	2	1	1
.37461746	0	-1	5	3	1	1
.020211002	0	-9	6	1	0	1
-.29741162	0	-8	6	4	0	0
.11715089	0	-1	6	4	1	0
-.13363807	0	-7	4	2	0	1
.32272267	0	-2	3	5	0	0
.30045801	0	-3	5	0	1	0
-.51865667	0	-8	8	0	1	1
.17268459	0	-7	8	2	1	1
.074512281	0	-1	9	11	1	1
-.6864146	0	-7	5	3	0	1
.043673798	0	-7	4	1	0	0
.14344452	0	-1	4	0	1	0
.55411011	0	-3	2	3	0	0
.4130269	0	-4	3	2	0	0
2.1484835	0	-1	4	0	1	0
.050030973	0	-7	4	2	0	1
-.14014052	0	-9	5	0	0	0
1.02802	0	-3	5	0	1	0
.45406574	0	-2	5	1	1	0
.56830472	0	-3	5	1	1	1
.17420477	0	-1	5	2	1	1
.43189323	0	-7	5	4	0	0
-.73119813	0	-5	6	0	1	1
.05073081	0	-3	6	2	1	1
.64950085	0	-2	6	2	1	1
.58089012	0	-2	6	2	1	1
.54189795	0	-3	6	2	1	0
.80838609	0	-2	6	3	1	1
.23281285	0	-2	6	3	1	0
.56150621	0	-1	6	4	1	0
.25746721	0	-6	7	1	1	0
-.29323247	0	-4	7	1	1	1
.11650768	0	-4	7	1	1	0
-.23342492	0	-9	7	3	0	1
.57742757	1	1	6	5	1	0
-.58514732	0	-9	8	5	0	0
-.26357359	0	-7	10	5	1	0
.96052718	0	-7	4	1	0	1
-.34936863	0	-7	4	2	0	1
.36880419	0	-7	5	3	0	1
.015736792	0	-3	7	3	1	1
-.13858318	0	-7	8	0	1	0
