INVSALES	treat	s	chica	id_firma	grande	PET	s2	s3	streat	streat2	streat3	notreat	snotreat	snotreat2	snotreat3	schica	schica2	schica3	sgrande	sgrande2	sgrande3	treatchica	streatchica	streatchica2	streatchica3	treatgrande	streatgrande	streatgrande2	streatgrande3	_est_A
.0041536866	0	-40	1	121	0	35	1600	-64000	0	0	0	1	-40	1600	-64000	-40	1600	-64000	0	0	0	0	0	0	0	0	0	0	0	1
.13658965	1	19	1	142	0	94	361	6859	19	361	6859	0	0	0	0	19	361	6859	0	0	0	1	19	361	6859	0	0	0	0	1
-.034754097	1	11	1	159	0	86	121	1331	11	121	1331	0	0	0	0	11	121	1331	0	0	0	1	11	121	1331	0	0	0	0	1
.0437041	1	10	1	101	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
.2258727	1	10	1	149	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
.0056558265	1	4	1	115	0	79	16	64	4	16	64	0	0	0	0	4	16	64	0	0	0	1	4	16	64	0	0	0	0	1
-.058270678	1	12	1	225	0	87	144	1728	12	144	1728	0	0	0	0	12	144	1728	0	0	0	1	12	144	1728	0	0	0	0	1
.34731123	1	5	1	343	0	80	25	125	5	25	125	0	0	0	0	5	25	125	0	0	0	1	5	25	125	0	0	0	0	1
-.043154091	1	2	1	313	0	77	4	8	2	4	8	0	0	0	0	2	4	8	0	0	0	1	2	4	8	0	0	0	0	1
.18868259	1	5	1	42	0	80	25	125	5	25	125	0	0	0	0	5	25	125	0	0	0	1	5	25	125	0	0	0	0	1
-.10387812	1	2	1	166	0	77	4	8	2	4	8	0	0	0	0	2	4	8	0	0	0	1	2	4	8	0	0	0	0	1
.057268724	1	5	1	227	0	80	25	125	5	25	125	0	0	0	0	5	25	125	0	0	0	1	5	25	125	0	0	0	0	1
-.024925718	1	0	1	177	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
.1800147	1	8	1	91	0	83	64	512	8	64	512	0	0	0	0	8	64	512	0	0	0	1	8	64	512	0	0	0	0	1
-.011631206	1	6	1	83	0	81	36	216	6	36	216	0	0	0	0	6	36	216	0	0	0	1	6	36	216	0	0	0	0	1
.0084388182	1	17	1	295	0	92	289	4913	17	289	4913	0	0	0	0	17	289	4913	0	0	0	1	17	289	4913	0	0	0	0	1
-.04500331	1	11	1	81	0	86	121	1331	11	121	1331	0	0	0	0	11	121	1331	0	0	0	1	11	121	1331	0	0	0	0	1
.04574639	1	4	1	265	0	79	16	64	4	16	64	0	0	0	0	4	16	64	0	0	0	1	4	16	64	0	0	0	0	1
.28660995	1	13	1	324	0	88	169	2197	13	169	2197	0	0	0	0	13	169	2197	0	0	0	1	13	169	2197	0	0	0	0	1
.034895316	1	0	1	194	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
.031559292	1	15	1	99	0	90	225	3375	15	225	3375	0	0	0	0	15	225	3375	0	0	0	1	15	225	3375	0	0	0	0	1
.0063291141	1	15	1	247	0	90	225	3375	15	225	3375	0	0	0	0	15	225	3375	0	0	0	1	15	225	3375	0	0	0	0	1
-.0087560387	1	4	1	228	0	79	16	64	4	16	64	0	0	0	0	4	16	64	0	0	0	1	4	16	64	0	0	0	0	1
-.0084388182	1	9	1	6	0	84	81	729	9	81	729	0	0	0	0	9	81	729	0	0	0	1	9	81	729	0	0	0	0	1
.2107735	1	12	1	255	0	87	144	1728	12	144	1728	0	0	0	0	12	144	1728	0	0	0	1	12	144	1728	0	0	0	0	1
